stage,match_no,group,home_team,away_team,p_pairing,p_home,p_draw,p_away,ci_home_lo,ci_home_hi,ci_draw_lo,ci_draw_hi,ci_away_lo,ci_away_hi,cal_home,cal_draw,cal_away
SF,101.0,,Netherlands,Spain,0.0599,0.2775,0.2842,0.4383,0.0819,0.5765,0.1584,0.3905,0.1789,0.7391,0.2001,0.2089,0.5909
SF,102.0,,England,Argentina,0.1808,0.1759,0.4274,0.3967,0.0408,0.4518,0.2204,0.5871,0.1403,0.717,0.3393,0.3254,0.3353
SF,102.0,,Brazil,Argentina,0.121,0.1605,0.3049,0.5346,0.0328,0.4683,0.1533,0.4303,0.2376,0.7911,0.3007,0.2787,0.4206
SF,102.0,,Norway,Argentina,0.094,0.154,0.3431,0.5029,0.03,0.4459,0.1672,0.4783,0.2078,0.7778,0.2384,0.2692,0.4924
3rd-place,103.0,,Germany,Argentina,0.0335,0.1643,0.3195,0.5162,0.0318,0.4756,0.1569,0.4468,0.2104,0.7839,0.2656,0.2676,0.4668
3rd-place,103.0,,Spain,Argentina,0.0317,0.1928,0.3569,0.4503,0.0457,0.5142,0.1905,0.4732,0.1753,0.7305,0.389,0.2884,0.3226
3rd-place,103.0,,France,Argentina,0.0292,0.1507,0.3305,0.5188,0.0324,0.4282,0.1686,0.4613,0.2365,0.7741,0.32,0.2981,0.3819
Final,104.0,,Spain,Argentina,0.1032,0.1928,0.3569,0.4503,0.0457,0.5142,0.1905,0.4732,0.1753,0.7305,0.389,0.2884,0.3226
Final,104.0,,France,Argentina,0.055,0.1507,0.3305,0.5188,0.0324,0.4282,0.1686,0.4613,0.2365,0.7741,0.32,0.2981,0.3819
Final,104.0,,Germany,Argentina,0.0505,0.1643,0.3195,0.5162,0.0318,0.4756,0.1569,0.4468,0.2104,0.7839,0.2656,0.2676,0.4668
